"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Farmer, Kyle","571657","48","18",43.8,"105.8","87.9","98.2","92.2","84.1","371","176",,"17",35.4,"2",4.2,3
"Suárez, Eugenio","553993","48","19.9",29.2,"111.7","94.4","103.4","98.6","91.3","458","214","421","30",62.5,"9",18.8,10.2
"Stowers, Kyle","669065","48","7.5",35.4,"110.3","89.9","102.2","96.1","86.1","421","145","392","25",52.1,"9",18.8,10.6
"Robert Jr., Luis","673357","47","19",27.7,"113.8","86.3","100.9","93.8","85.7","387","150","380","19",40.4,"5",10.6,6
"Yastrzemski, Mike","573262","47","17.4",42.6,"106.8","91","100.1","94.6","83.2","387","195","382","19",40.4,"4",8.5,5.1
"Roden, Alan","702176","47","1.3",21.3,"107.6","85.4","98.6","91.8","83.6","397","110","397","15",31.9,"1",2.1,1.5
"Sheets, Gavin","657757","47","18.9",57.4,"109.8","92.8","101.3","97.8","79","405","217","383","28",59.6,"3",6.4,4.5
"O'Hearn, Ryan","656811","47","10",36.2,"109.4","90.5","101.2","94.9","87","396","151","392","26",55.3,"4",8.5,6.6
"Polanco, Jorge","593871","47","10.3",44.7,"109.9","90.1","102.3","95.1","86","413","173","395","23",48.9,"6",12.8,10.9
"Muncy, Max","691777","47","12.2",36.2,"112.6","87.2","98.1","91.8","85.3","430","140","430","12",25.5,"2",4.3,2.8
"Pham, Tommy","502054","47","3.5",21.3,"109.9","90.4","101.9","96.9","89.1","386","114",,"22",46.8,"2",4.3,2.6
"Crawford, J.P.","641487","47","8",34,"104.5","85.2","97.1","90.5","81.8","391","135",,"15",31.9,"3",6.4,3.8
"Burger, Jake","669394","46","6.8",23.9,"113","89.5","103","97.8","83.1","429","142","408","20",43.5,"5",10.9,7.1
"Taylor, Tyrone","621438","46","21",39.1,"106.9","85.7","96.7","86.5","89.3","380","166",,"16",34.8,"2",4.3,3.4
"Cruz, Oneil","665833","46","13.7",43.5,"118","93.5","105.2","97.9","85.9","442","205","394","25",54.3,"9",19.6,11
"Steer, Spencer","668715","46","13",23.9,"103.7","86.3","94.9","90.1","84","379","132","379","10",21.7,"2",4.3,2.9
"Keith, Colt","690993","45","6.5",35.6,"108.9","83.6","97","91.6","77.9","380","149",,"14",31.1,"2",4.4,2.6
"Baldwin, Brooks","681460","45","10.6",31.1,"107.1","91.3","100.2","95","89.1","407","133","404","18",40,"3",6.7,4.8
"Holliday, Jackson","702616","45","8.6",31.1,"109","88.9","99.5","90.5","88","425","148","411","17",37.8,"3",6.7,4.8
"Springer, George","543807","45","14.1",42.2,"112.3","92.2","102.7","95.9","88.1","422","173","395","24",53.3,"8",17.8,10.8
"Candelario, Jeimer","600869","45","9.7",20,"107.5","87.6","96.3","93","83.5","415","147","400","12",26.7,"3",6.7,3.8
"Realmuto, J.T.","592663","45","11.9",42.2,"108.7","90.5","100.4","95.4","84.7","387","161","387","19",42.2,"4",8.9,5.2
"Goodman, Hunter","696100","45","18.1",26.7,"111.4","87.5","101.3","93.3","83.2","405","163","392","19",42.2,"5",11.1,6.8
"Conforto, Michael","624424","45","13.5",35.6,"108.4","88.1","98.8","90.7","86.3","419","165","408","17",37.8,"4",8.9,4.9
"Encarnacion-Strand, Christian","687952","45","21.1",26.7,"111.4","87.6","99.6","95.7","82.1","451","150","403","19",42.2,"2",4.4,3.3
"Conine, Griffin","665052","45","8.8",37.8,"117.4","91.6","102.6","96.8","86.9","404","157","404","23",51.1,"7",15.6,9.9
"Báez, Javier","595879","44","3.1",38.6,"103.7","86.3","96.6","91.3","81.7","378","140",,"13",29.5,"1",2.3,1.6
"Taveras, Leody","665750","44","21.5",20.5,"109.8","86.3","96.6","88.4","88.8","356","148",,"12",27.3,"1",2.3,1.6
"Julien, Edouard","666397","44","4.1",40.9,"110.1","88.6","99.6","97.4","79.9","405","161","361","18",40.9,"5",11.4,7.7
"Ozuna, Marcell","542303","44","19",45.5,"109.8","95.3","104.3","97.5","93.7","425","197","407","23",52.3,"5",11.4,6.2
"Fraley, Jake","641584","44","17.7",38.6,"107.8","85","98.4","88.1","84.7","429","177","397","15",34.1,"3",6.8,4.8
"Domínguez, Jasson","691176","44","12.5",25,"110.2","87.6","102","92.8","89.2","445","147","411","22",50,"4",9.1,5.1
"Clement, Ernie","676391","44","23.7",34.1,"108.9","87.8","94.9","87.3","88.8","351","177",,"8",18.2,"1",2.3,1.7
"Doyle, Brenton","686668","43","9.4",34.9,"109.5","90.6","101.2","91.5","89.6","403","178","391","20",46.5,"6",14,10.5
"Misner, Kameron","670224","43","13.5",30.2,"108.2","92.7","100.9","96.7","87.4","431","182","379","19",44.2,"4",9.3,7
"McMahon, Ryan","641857","43","18.6",30.2,"110.2","92.4","100.7","93.4","90.3","432","182","416","17",39.5,"3",7,3.4
"Moore, Dylan","664238","43","18.9",34.9,"108.6","86.5","99.9","91.7","82.8","429","163","388","18",41.9,"6",14,9.7
"Iglesias, Jose","578428","43","-5.4",16.3,"109.5","80.9","93.7","82.5","81.1","351","77",,"10",23.3,"0",0,0
"Trevino, Jose","624431","43","4",23.3,"107.2","87.3","99","94.7","84.9","404","116","383","17",39.5,"2",4.7,3.8
