"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
671732,"Butler, Lawrence","L","L",26.78707473309316,31.767649984020085,31.597013180993933,1.234999054464203,28.097345051844655,1.310270318751499
606192,"Hernández, Teoscar","R","R",30.72090236971966,29.92550709489345,28.142333190087452,-1.2830675842260653,31.982116049444755,1.623703752589698
673357,"Robert Jr., Luis","R","R",31.683390269334623,27.054757534553254,34.43453614563569,-22.32824159783349,30.280482551083384,-1.4029077182512406
691016,"Soderstrom, Tyler","L","L",29.81263079891758,29.999090565692615,33.241679671375714,-8.170363049457343,30.134391262437173,0.32176046351959897
660271,"Ohtani, Shohei","L","L",29.244671870244453,31.268919280385223,35.3259048115535,-10.459642203685277,29.36336983689927,0.11869796665482113
663457,"Nootbaar, Lars","L","L",27.963139500133398,27.028043616078534,22.326560698154317,-18.78750867381894,34.79608320115959,6.832943701026181
621439,"Buxton, Byron","R","R",25.510763083286164,27.87695115462242,28.634554969895124,-0.7224238771708875,29.114220695621754,3.603457612335589
596146,"Kepler, Max","L","L",33.26029416012705,32.10595215096899,35.23114112288534,-28.075609166109103,31.21647356648366,-2.0438205936433924
673548,"Suzuki, Seiya","R","R",27.512605521804854,27.880193286530744,29.670737874864646,-4.298220637963639,33.204464648137474,5.691859126332609
686469,"Pasquantino, Vinnie","L","L",28.12436967241143,30.78758688404199,37.17187982438112,-21.82922010473715,33.33280281166141,5.208433139249973
624585,"Soler, Jorge","R","R",29.327212348590457,29.3961189737329,38.325655150147206,-17.73620587460207,28.932417941098507,-0.3947944074919434
608369,"Seager, Corey","L","L",27.89090032899289,30.316907221648496,28.71003164362592,-32.35969817793482,32.95349745994818,5.0625971309552895
672820,"Sosa, Lenyn","R","R",30.187279279086486,27.85451427864875,29.713055310639135,-10.032791317902204,31.911819443483694,1.7245401643972045
668804,"Reynolds, Bryan","L","L",25.180049456311718,27.524081846575175,43.78089580875055,-4.344117451566945,27.40323907641829,2.2231896201065666
641487,"Crawford, J.P.","L","L",35.51342883256636,27.441602488549762,32.3471065262778,-24.689286413571388,34.309682803033986,-1.203746029532386
696100,"Goodman, Hunter","R","R",27.812621820815185,28.385196823712377,18.817934651183975,-14.857108370315302,38.56787349906743,11.011454157947924
656775,"Mullins, Cedric","L","L",30.692972831750627,24.911028454132914,29.83522415408943,-11.206455139274015,28.95687346040543,-1.736099371345201
663697,"India, Jonathan","R","R",26.257066054329943,28.175811973519966,30.413876969154312,-13.958238505633814,30.28382141368888,4.026755359358937
571448,"Arenado, Nolan","R","R",30.662267841393355,30.013622857336244,31.466940967115153,-3.0729165708180965,36.66252428262109,6.000256441227741
650333,"Arraez, Luis","L","L",34.292116005384464,25.436232636278053,27.883061488038063,-23.64847505811643,34.028298553996095,-0.2638174513883911
